"","ppt","horse_name","length_description","origin","response","description","in_analysis"
"512",34,"Echo Fury",7,"Created","5","Echo Fury held under a tender ride.","Yes"
"513",33,"Nimbus Crest",12,"Created","7","Nimbus Crest is a sharp sire who settled and saw it out.","Yes"
"514",33,"Nightfall",8,"Created","7","Nightfall proved over the trip after running green.","Yes"
"515",33,"Gallant Storm",11,"Created","6","Gallant Storm was out of a stager and sat box seat.","Yes"
"516",33,"Flashfire",9,"Created","6","Flashfire had a line to the judge being covered.","Yes"
"517",33,"Celestial Queen",10,"Created","6","Celestial Queen answered every call in a field of fillies.","Yes"
"518",33,"Skybreaker",10,"Created","8","Skybreaker had undergone a wind operation and so travelled cleaner.","Yes"
"519",33,"Estragon",11,"Attheraces","9","Estragon was left-handed and secured a hat-trick.","Yes"
"520",33,"Auric Vale",9,"Created","6","Auric Vale took the measure in first-time hood.","Yes"
"521",33,"Summer Breeze",9,"Created","6","Summer Breeze ran with credit with a tongue-tie fitted.","Yes"
"522",33,"Bramble Halo",9,"Created","7","Bramble Hallo was known for sitting handy and traveling.","Yes"
"523",33,"Blue Horizon",9,"Gemini","6","Blue Horizon raced without the cheekpieces.","Yes"
"524",33,"Ruby Ash",9,"Created","7","Ruby Ash had a stripped fitter for the reappearance.","Yes"
"525",33,"Scarlet Racer",12,"Created","4","Scarlet Racer was a yard in form and picked up once angled.","Yes"
"526",33,"Royal Rebel",8,"Created","3","Royal Rebel was visored for the first time.","Yes"
"527",33,"Pale Corsair",7,"Created","6","Pale Corsair found plenty off the bridle.","Yes"
"528",33,"Steady Fighter",9,"Created","7","Steady Fighter had afterburners, scrambling home the last furlong.","Yes"
"529",33,"Echo Fury",7,"Created","8","Echo Fury held under a tender ride.","Yes"
"530",33,"Desert Flower",9,"Created","9","Desert Flower ran in snatches, still on the bridle.","Yes"
"531",33,"Black Ember",8,"Created","6","Black Ember had matters in safekeeping turning in.","Yes"
"532",33,"Swift Valor",9,"Created","4","Swift Valor went through the bridle approaching the pole.","Yes"
"533",33,"Air Ace",6,"Created","6","Air Ace, gelded recently, made headway.","Yes"
"534",33,"Velvet Thunder",12,"Created","7","Velvet Thunder held up in rear, the drop in trip should suit.","Yes"
"535",33,"Dark Mirage",8,"Created","8","Dark Mirage found the seam with first-time blinkers.","Yes"
"536",33,"Flint Sonata",13,"Created","4","Flint Sonata, wind op, had been suited by the cut in the ground.","Yes"
"537",33,"Indigo Marc",9,"Created","9","Indigo Marc found another leg in the last furlong.","Yes"
"538",33,"Solar Flash",11,"Created","7","Solar Flash had a bit to spare in a quiet sit.","Yes"
"539",33,"Stockman",13,"Attheraces","7","Stockman led them a merry dance after being pipped.","Yes"
"540",33,"Lightning Monarch",10,"Created","4","Lightning Monarch settled his own sums in the turf course.","Yes"
"541",33,"Golden Tempest",7,"Created","7","Golden Tempest did mind the business end.","Yes"
"542",33,"Comet Stride",7,"Created","3","Comet Stride had claimer and came widest.","Yes"
"543",33,"Star Dust",11,"Created","6","Star Dust is a fettle that showed plenty on the gallops.","Yes"
"544",33,"Electric Stride",10,"Created","3","Electric Stride was by Miller and came widest, always holding.","Yes"
"545",33,"Ticker Pike",6,"Created","9","Ticker Pike had it written beforehand.","Yes"
"546",33,"Onyx Rune",7,"Created","9","Onyx Rune answered every question readily.","Yes"
"547",33,"Silversky",8,"Attheraces","3","Silversky began his handicap career last time out.","Yes"
"548",33,"Port Louis",13,"Attheraces","9","Port Louis is a Michael Madgwick-trained and ran a stormer at Doncaster .","Yes"
"549",33,"Bold Pride",9,"Created","6","Bold Pride was from a shrewd yard and cruising.","Yes"
"550",33,"Silver Phantom",10,"Created","4","Silver Phantom heard the clock tick in the last furlong.","Yes"
"551",33,"Emerald",9,"Created","6","Emerald was a picture in running at 7 furlongs.","Yes"
"552",33,"Wave Rider",9,"Created","3","Wave Rider broke hearts late after dropping in class.","Yes"
"553",33,"Moss Relic",12,"Created","4","Moss Relic was always in the box seat under a cool ride.","Yes"
"554",33,"Brave Horizon",9,"Created","6","Brave Horizon had them stretched before the furlong pole.","Yes"
"555",33,"Saffron Crest",9,"Created","7","Saffron Crest was bred stout and asserted without stick.","Yes"
"556",33,"Urban Legend",11,"Created","4","Urban Legend was in the mix with a generous weight.","Yes"
"557",33,"Oblique Runner",9,"Created","4","Oblique Runner switched yards, hitting rising ground on steel.","Yes"
"558",33,"Copper Legacy",8,"Created","6","Copper Legacy hung left in the turf course.","Yes"
"559",33,"Blue Blaze",9,"Created","6","Blue Blaze hit the rising ground on the steel.","Yes"
"560",33,"Karerin",11,"Attheraces","5","Karenin was placed and took it to the wire.","Yes"
"561",33,"Gilded Lily",9,"Created","6","Gilded Lily charged to the line on the gallops.","Yes"
"562",33,"Green Dusk",11,"Created","6","Green Dusk had a shade snug in the sands last time.","Yes"
"563",33,"Silent Eclipse",8,"Created","6","Silent Eclipse travelled into the dip, digging deep.","Yes"
"564",33,"Vanya",10,"Attheraces","6","Vanya reverted to the flat and the sand boded well.","Yes"
"565",33,"Lovelace",12,"Attheraces","6","Lovelace was first-time hooded and worked the oracle.","Yes"
"566",33,"Vladimir",12,"Attheraces","6","Vladimir was narrowly beaten in a fair maiden on the turf course.","Yes"
"567",33,"Red Meridian",8,"Created","7","Red Meridian caught the eye at the flats.","Yes"
"568",33,"Midnight Inferno",6,"Created","5","Midnight Inferno nursed it through gears.","Yes"
"569",33,"Leeloo",12,"Created","3","Leeloo was on a string despite being collared in the closing stages.","Yes"
"570",33,"Lunar Charger",9,"Created","7","Lunar Charger was bred for trip and came cruising.","Yes"
"571",33,"Worthing",9,"Created","6","Worthing flowed in the turf course running in blinkers.","Yes"
"572",33,"Crimson Eclipse",10,"Created","6","Crimson Eclipse was from an in-from yard and always covered.","Yes"
"573",33,"Diamond Hood",6,"Created","6","Diamond Hood found under minimal cajoling.","Yes"
"574",33,"Neon Charger",9,"Created","3","Neon Charger was let in lightly on prior evidence.","Yes"
"575",33,"Crystal Frontier",6,"Created","4","Crystal Frontier settled well in midfield.","Yes"
"576",33,"Windchaser",9,"Created","6","Windchaser had the edge without showing in the turfs.","Yes"
"577",32,"Crimson Eclipse",10,"Created","6","Crimson Eclipse was from an in-from yard and always covered.","No"
"578",32,"Nimbus Crest",12,"Created","7","Nimbus Crest is a sharp sire who settled and saw it out.","No"
"579",32,"Velvet Thunder",12,"Created","4","Velvet Thunder held up in rear, the drop in trip should suit.","No"
"580",32,"Solar Flash",11,"Created","7","Solar Flash had a bit to spare in a quiet sit.","No"
"581",32,"Silver Phantom",10,"Created","3","Silver Phantom heard the clock tick in the last furlong.","No"
"582",32,"Bramble Halo",9,"Created","4","Bramble Hallo was known for sitting handy and traveling.","No"
"583",32,"Flint Sonata",13,"Created","7","Flint Sonata, wind op, had been suited by the cut in the ground.","No"
"584",32,"Skybreaker",10,"Created","6","Skybreaker had undergone a wind operation and so travelled cleaner.","No"
"585",32,"Indigo Marc",9,"Created","7","Indigo Marc found another leg in the last furlong.","No"
"586",32,"Steady Fighter",9,"Created","6","Steady Fighter had afterburners, scrambling home the last furlong.","No"
"587",32,"Oblique Runner",9,"Created","6","Oblique Runner switched yards, hitting rising ground on steel.","No"
"588",32,"Diamond Hood",6,"Created","6","Diamond Hood found under minimal cajoling.","No"
"589",32,"Silent Eclipse",8,"Created","3","Silent Eclipse travelled into the dip, digging deep.","No"
"590",32,"Vladimir",12,"Attheraces","2","Vladimir was narrowly beaten in a fair maiden on the turf course.","No"
"591",32,"Moss Relic",12,"Created","5","Moss Relic was always in the box seat under a cool ride.","No"
"592",32,"Blue Horizon",9,"Gemini","4","Blue Horizon raced without the cheekpieces.","No"
"593",32,"Copper Legacy",8,"Created","5","Copper Legacy hung left in the turf course.","No"
"594",32,"Urban Legend",11,"Created","5","Urban Legend was in the mix with a generous weight.","No"
"595",32,"Comet Stride",7,"Created","9","Comet Stride had claimer and came widest.","No"
"596",32,"Pale Corsair",7,"Created","4","Pale Corsair found plenty off the bridle.","No"
"597",32,"Saffron Crest",9,"Created","9","Saffron Crest was bred stout and asserted without stick.","No"
"598",32,"Air Ace",6,"Created","9","Air Ace, gelded recently, made headway.","No"
"599",32,"Auric Vale",9,"Created","5","Auric Vale took the measure in first-time hood.","No"
"600",32,"Scarlet Racer",12,"Created","9","Scarlet Racer was a yard in form and picked up once angled.","No"
"601",32,"Worthing",9,"Created","5","Worthing flowed in the turf course running in blinkers.","No"
"602",32,"Estragon",11,"Attheraces","10","Estragon was left-handed and secured a hat-trick.","No"
"603",32,"Electric Stride",10,"Created","6","Electric Stride was by Miller and came widest, always holding.","No"
"604",32,"Summer Breeze",9,"Created","6","Summer Breeze ran with credit with a tongue-tie fitted.","No"
"605",32,"Star Dust",11,"Created","4","Star Dust is a fettle that showed plenty on the gallops.","No"
"606",32,"Flashfire",9,"Created","5","Flashfire had a line to the judge being covered.","No"
"607",32,"Desert Flower",9,"Created","6","Desert Flower ran in snatches, still on the bridle.","No"
"608",32,"Lovelace",12,"Attheraces","3","Lovelace was first-time hooded and worked the oracle.","No"
"609",32,"Lightning Monarch",10,"Created","7","Lightning Monarch settled his own sums in the turf course.","No"
"610",32,"Ruby Ash",9,"Created","4","Ruby Ash had a stripped fitter for the reappearance.","No"
"611",32,"Ticker Pike",6,"Created","6","Ticker Pike had it written beforehand.","No"
"612",32,"Crystal Frontier",6,"Created","7","Crystal Frontier settled well in midfield.","No"
"613",32,"Brave Horizon",9,"Created","8","Brave Horizon had them stretched before the furlong pole.","No"
"614",32,"Red Meridian",8,"Created","9","Red Meridian caught the eye at the flats.","No"
"615",32,"Onyx Rune",7,"Created","6","Onyx Rune answered every question readily.","No"
"616",32,"Vanya",10,"Attheraces","6","Vanya reverted to the flat and the sand boded well.","No"
"617",32,"Swift Valor",9,"Created","6","Swift Valor went through the bridle approaching the pole.","No"
"618",32,"Windchaser",9,"Created","5","Windchaser had the edge without showing in the turfs.","No"
"619",32,"Gilded Lily",9,"Created","7","Gilded Lily charged to the line on the gallops.","No"
"620",32,"Black Ember",8,"Created","7","Black Ember had matters in safekeeping turning in.","No"
"621",32,"Neon Charger",9,"Created","7","Neon Charger was let in lightly on prior evidence.","No"
"622",32,"Gallant Storm",11,"Created","6","Gallant Storm was out of a stager and sat box seat.","No"
"623",32,"Blue Blaze",9,"Created","6","Blue Blaze hit the rising ground on the steel.","No"
"624",32,"Celestial Queen",10,"Created","3","Celestial Queen answered every call in a field of fillies.","No"
"625",32,"Silversky",8,"Attheraces","1","Silversky began his handicap career last time out.","No"
"626",32,"Wave Rider",9,"Created","2","Wave Rider broke hearts late after dropping in class.","No"
"627",32,"Green Dusk",11,"Created","3","Green Dusk had a shade snug in the sands last time.","No"
"628",32,"Karerin",11,"Attheraces","2","Karenin was placed and took it to the wire.","No"
"629",32,"Royal Rebel",8,"Created","2","Royal Rebel was visored for the first time.","No"
"630",32,"Bold Pride",9,"Created","4","Bold Pride was from a shrewd yard and cruising.","No"
"631",32,"Midnight Inferno",6,"Created","7","Midnight Inferno nursed it through gears.","No"
"632",32,"Emerald",9,"Created","8","Emerald was a picture in running at 7 furlongs.","No"
"633",32,"Leeloo",12,"Created","7","Leeloo was on a string despite being collared in the closing stages.","No"
"634",32,"Lunar Charger",9,"Created","1","Lunar Charger was bred for trip and came cruising.","No"
"635",32,"Stockman",13,"Attheraces","3","Stockman led them a merry dance after being pipped.","No"
"636",32,"Port Louis",13,"Attheraces","10","Port Louis is a Michael Madgwick-trained and ran a stormer at Doncaster .","No"
"637",32,"Golden Tempest",7,"Created","4","Golden Tempest did mind the business end.","No"
"638",32,"Echo Fury",7,"Created","4","Echo Fury held under a tender ride.","No"
"639",32,"Dark Mirage",8,"Created","4","Dark Mirage found the seam with first-time blinkers.","No"
"640",32,"Nightfall",8,"Created","7","Nightfall proved over the trip after running green.","No"
"641",31,"Comet Stride",7,"Created","2","Comet Stride had claimer and came widest.","Yes"
"642",31,"Flashfire",9,"Created","4","Flashfire had a line to the judge being covered.","Yes"
"643",31,"Gallant Storm",11,"Created","7","Gallant Storm was out of a stager and sat box seat.","Yes"
"644",31,"Neon Charger",9,"Created","2","Neon Charger was let in lightly on prior evidence.","Yes"
"645",31,"Solar Flash",11,"Created","6","Solar Flash had a bit to spare in a quiet sit.","Yes"
"646",31,"Estragon",11,"Attheraces","9","Estragon was left-handed and secured a hat-trick.","Yes"
"647",31,"Worthing",9,"Created","7","Worthing flowed in the turf course running in blinkers.","Yes"
"648",31,"Urban Legend",11,"Created","9","Urban Legend was in the mix with a generous weight.","Yes"
"649",31,"Green Dusk",11,"Created","4","Green Dusk had a shade snug in the sands last time.","Yes"
"650",31,"Moss Relic",12,"Created","6","Moss Relic was always in the box seat under a cool ride.","Yes"
"651",31,"Scarlet Racer",12,"Created","4","Scarlet Racer was a yard in form and picked up once angled.","Yes"
"652",31,"Leeloo",12,"Created","7","Leeloo was on a string despite being collared in the closing stages.","Yes"
"653",31,"Ruby Ash",9,"Created","4","Ruby Ash had a stripped fitter for the reappearance.","Yes"
"654",31,"Gilded Lily",9,"Created","10","Gilded Lily charged to the line on the gallops.","Yes"
"655",31,"Electric Stride",10,"Created","6","Electric Stride was by Miller and came widest, always holding.","Yes"
"656",31,"Indigo Marc",9,"Created","7","Indigo Marc found another leg in the last furlong.","Yes"
"657",31,"Velvet Thunder",12,"Created","6","Velvet Thunder held up in rear, the drop in trip should suit.","Yes"
"658",31,"Celestial Queen",10,"Created","9","Celestial Queen answered every call in a field of fillies.","Yes"
"659",31,"Air Ace",6,"Created","7","Air Ace, gelded recently, made headway.","Yes"
"660",31,"Emerald",9,"Created","9","Emerald was a picture in running at 7 furlongs.","Yes"
"661",31,"Summer Breeze",9,"Created","4","Summer Breeze ran with credit with a tongue-tie fitted.","Yes"
"662",31,"Red Meridian",8,"Created","6","Red Meridian caught the eye at the flats.","Yes"
"663",31,"Black Ember",8,"Created","3","Black Ember had matters in safekeeping turning in.","Yes"
"664",31,"Silent Eclipse",8,"Created","7","Silent Eclipse travelled into the dip, digging deep.","Yes"
"665",31,"Nimbus Crest",12,"Created","4","Nimbus Crest is a sharp sire who settled and saw it out.","Yes"
"666",31,"Swift Valor",9,"Created","3","Swift Valor went through the bridle approaching the pole.","Yes"
"667",31,"Stockman",13,"Attheraces","7","Stockman led them a merry dance after being pipped.","Yes"
"668",31,"Silver Phantom",10,"Created","2","Silver Phantom heard the clock tick in the last furlong.","Yes"
"669",31,"Bramble Halo",9,"Created","6","Bramble Hallo was known for sitting handy and traveling.","Yes"
"670",31,"Saffron Crest",9,"Created","7","Saffron Crest was bred stout and asserted without stick.","Yes"
"671",31,"Diamond Hood",6,"Created","4","Diamond Hood found under minimal cajoling.","Yes"
"672",31,"Crimson Eclipse",10,"Created","6","Crimson Eclipse was from an in-from yard and always covered.","Yes"
"673",31,"Steady Fighter",9,"Created","2","Steady Fighter had afterburners, scrambling home the last furlong.","Yes"
"674",31,"Nightfall",8,"Created","4","Nightfall proved over the trip after running green.","Yes"
"675",31,"Vanya",10,"Attheraces","4","Vanya reverted to the flat and the sand boded well.","Yes"
"676",31,"Port Louis",13,"Attheraces","7","Port Louis is a Michael Madgwick-trained and ran a stormer at Doncaster .","Yes"
"677",31,"Lightning Monarch",10,"Created","8","Lightning Monarch settled his own sums in the turf course.","Yes"
"678",31,"Copper Legacy",8,"Created","4","Copper Legacy hung left in the turf course.","Yes"
"679",31,"Karerin",11,"Attheraces","3","Karenin was placed and took it to the wire.","Yes"
"680",31,"Onyx Rune",7,"Created","6","Onyx Rune answered every question readily.","Yes"
"681",31,"Echo Fury",7,"Created","4","Echo Fury held under a tender ride.","Yes"
"682",31,"Blue Blaze",9,"Created","6","Blue Blaze hit the rising ground on the steel.","Yes"
"683",31,"Windchaser",9,"Created","7","Windchaser had the edge without showing in the turfs.","Yes"
"684",31,"Royal Rebel",8,"Created","3","Royal Rebel was visored for the first time.","Yes"
"685",31,"Skybreaker",10,"Created","8","Skybreaker had undergone a wind operation and so travelled cleaner.","Yes"
"686",31,"Vladimir",12,"Attheraces","3","Vladimir was narrowly beaten in a fair maiden on the turf course.","Yes"
"687",31,"Lovelace",12,"Attheraces","7","Lovelace was first-time hooded and worked the oracle.","Yes"
"688",31,"Bold Pride",9,"Created","6","Bold Pride was from a shrewd yard and cruising.","Yes"
"689",31,"Brave Horizon",9,"Created","7","Brave Horizon had them stretched before the furlong pole.","Yes"
"690",31,"Lunar Charger",9,"Created","8","Lunar Charger was bred for trip and came cruising.","Yes"
"691",31,"Ticker Pike",6,"Created","8","Ticker Pike had it written beforehand.","Yes"
"692",31,"Desert Flower",9,"Created","6","Desert Flower ran in snatches, still on the bridle.","Yes"
"693",31,"Pale Corsair",7,"Created","6","Pale Corsair found plenty off the bridle.","Yes"
"694",31,"Midnight Inferno",6,"Created","3","Midnight Inferno nursed it through gears.","Yes"
"695",31,"Golden Tempest",7,"Created","4","Golden Tempest did mind the business end.","Yes"
"696",31,"Oblique Runner",9,"Created","6","Oblique Runner switched yards, hitting rising ground on steel.","Yes"
"697",31,"Star Dust",11,"Created","7","Star Dust is a fettle that showed plenty on the gallops.","Yes"
"698",31,"Auric Vale",9,"Created","6","Auric Vale took the measure in first-time hood.","Yes"
"699",31,"Wave Rider",9,"Created","1","Wave Rider broke hearts late after dropping in class.","Yes"
"700",31,"Silversky",8,"Attheraces","2","Silversky began his handicap career last time out.","Yes"
"701",31,"Flint Sonata",13,"Created","4","Flint Sonata, wind op, had been suited by the cut in the ground.","Yes"
"702",31,"Dark Mirage",8,"Created","6","Dark Mirage found the seam with first-time blinkers.","Yes"
"703",31,"Blue Horizon",9,"Gemini","7","Blue Horizon raced without the cheekpieces.","Yes"
"704",31,"Crystal Frontier",6,"Created","3","Crystal Frontier settled well in midfield.","Yes"
"705",30,"Urban Legend",11,"Created","2","Urban Legend was in the mix with a generous weight.","No"
"706",30,"Windchaser",9,"Created","4","Windchaser had the edge without showing in the turfs.","No"
"707",30,"Dark Mirage",8,"Created","4","Dark Mirage found the seam with first-time blinkers.","No"
"708",30,"Desert Flower",9,"Created","2","Desert Flower ran in snatches, still on the bridle.","No"
"709",30,"Crimson Eclipse",10,"Created","2","Crimson Eclipse was from an in-from yard and always covered.","No"
"710",30,"Red Meridian",8,"Created","2","Red Meridian caught the eye at the flats.","No"
"711",30,"Moss Relic",12,"Created","1","Moss Relic was always in the box seat under a cool ride.","No"
"712",30,"Gilded Lily",9,"Created","2","Gilded Lily charged to the line on the gallops.","No"
"713",30,"Crystal Frontier",6,"Created","1","Crystal Frontier settled well in midfield.","No"
"714",30,"Scarlet Racer",12,"Created","2","Scarlet Racer was a yard in form and picked up once angled.","No"
"715",30,"Air Ace",6,"Created","2","Air Ace, gelded recently, made headway.","No"
"716",30,"Pale Corsair",7,"Created","1","Pale Corsair found plenty off the bridle.","No"
"717",30,"Bold Pride",9,"Created","1","Bold Pride was from a shrewd yard and cruising.","No"
"718",30,"Green Dusk",11,"Created","1","Green Dusk had a shade snug in the sands last time.","No"
"719",30,"Skybreaker",10,"Created","2","Skybreaker had undergone a wind operation and so travelled cleaner.","No"
"720",30,"Lovelace",12,"Attheraces","1","Lovelace was first-time hooded and worked the oracle.","No"
"721",30,"Auric Vale",9,"Created","1","Auric Vale took the measure in first-time hood.","No"
"722",30,"Blue Horizon",9,"Gemini","2","Blue Horizon raced without the cheekpieces.","No"
"723",30,"Nimbus Crest",12,"Created","1","Nimbus Crest is a sharp sire who settled and saw it out.","No"
"724",30,"Comet Stride",7,"Created","2","Comet Stride had claimer and came widest.","No"
"725",30,"Worthing",9,"Created","1","Worthing flowed in the turf course running in blinkers.","No"
"726",30,"Port Louis",13,"Attheraces","4","Port Louis is a Michael Madgwick-trained and ran a stormer at Doncaster .","No"
"727",30,"Royal Rebel",8,"Created","1","Royal Rebel was visored for the first time.","No"
"728",30,"Vladimir",12,"Attheraces","3","Vladimir was narrowly beaten in a fair maiden on the turf course.","No"
"729",30,"Swift Valor",9,"Created","1","Swift Valor went through the bridle approaching the pole.","No"
"730",30,"Stockman",13,"Attheraces","1","Stockman led them a merry dance after being pipped.","No"
"731",30,"Silver Phantom",10,"Created","1","Silver Phantom heard the clock tick in the last furlong.","No"
"732",30,"Vanya",10,"Attheraces","1","Vanya reverted to the flat and the sand boded well.","No"
"733",30,"Silversky",8,"Attheraces","1","Silversky began his handicap career last time out.","No"
"734",30,"Copper Legacy",8,"Created","1","Copper Legacy hung left in the turf course.","No"
"735",30,"Ticker Pike",6,"Created","1","Ticker Pike had it written beforehand.","No"
"736",30,"Celestial Queen",10,"Created","1","Celestial Queen answered every call in a field of fillies.","No"
"737",30,"Solar Flash",11,"Created","2","Solar Flash had a bit to spare in a quiet sit.","No"
"738",30,"Wave Rider",9,"Created","2","Wave Rider broke hearts late after dropping in class.","No"
"739",30,"Diamond Hood",6,"Created","1","Diamond Hood found under minimal cajoling.","No"
"740",30,"Oblique Runner",9,"Created","1","Oblique Runner switched yards, hitting rising ground on steel.","No"
"741",30,"Bramble Halo",9,"Created","1","Bramble Hallo was known for sitting handy and traveling.","No"
"742",30,"Summer Breeze",9,"Created","1","Summer Breeze ran with credit with a tongue-tie fitted.","No"
"743",30,"Neon Charger",9,"Created","1","Neon Charger was let in lightly on prior evidence.","No"
"744",30,"Saffron Crest",9,"Created","1","Saffron Crest was bred stout and asserted without stick.","No"
"745",30,"Estragon",11,"Attheraces","1","Estragon was left-handed and secured a hat-trick.","No"
"746",30,"Lunar Charger",9,"Created","2","Lunar Charger was bred for trip and came cruising.","No"
"747",30,"Nightfall",8,"Created","1","Nightfall proved over the trip after running green.","No"
"748",30,"Emerald",9,"Created","1","Emerald was a picture in running at 7 furlongs.","No"
"749",30,"Lightning Monarch",10,"Created","1","Lightning Monarch settled his own sums in the turf course.","No"
"750",30,"Velvet Thunder",12,"Created","1","Velvet Thunder held up in rear, the drop in trip should suit.","No"
"751",30,"Silent Eclipse",8,"Created","1","Silent Eclipse travelled into the dip, digging deep.","No"
"752",30,"Star Dust",11,"Created","2","Star Dust is a fettle that showed plenty on the gallops.","No"
"753",30,"Gallant Storm",11,"Created","2","Gallant Storm was out of a stager and sat box seat.","No"
"754",30,"Karerin",11,"Attheraces","1","Karenin was placed and took it to the wire.","No"
"755",30,"Leeloo",12,"Created","1","Leeloo was on a string despite being collared in the closing stages.","No"
"756",30,"Indigo Marc",9,"Created","1","Indigo Marc found another leg in the last furlong.","No"
"757",30,"Midnight Inferno",6,"Created","1","Midnight Inferno nursed it through gears.","No"
"758",30,"Flashfire",9,"Created","1","Flashfire had a line to the judge being covered.","No"
"759",30,"Brave Horizon",9,"Created","1","Brave Horizon had them stretched before the furlong pole.","No"
"760",30,"Flint Sonata",13,"Created","1","Flint Sonata, wind op, had been suited by the cut in the ground.","No"
"761",30,"Steady Fighter",9,"Created","1","Steady Fighter had afterburners, scrambling home the last furlong.","No"
"762",30,"Ruby Ash",9,"Created","1","Ruby Ash had a stripped fitter for the reappearance.","No"
"763",30,"Electric Stride",10,"Created","1","Electric Stride was by Miller and came widest, always holding.","No"
"764",30,"Blue Blaze",9,"Created","1","Blue Blaze hit the rising ground on the steel.","No"
"765",30,"Onyx Rune",7,"Created","1","Onyx Rune answered every question readily.","No"
"766",30,"Golden Tempest",7,"Created","1","Golden Tempest did mind the business end.","No"
"767",30,"Black Ember",8,"Created","1","Black Ember had matters in safekeeping turning in.","No"
"768",30,"Echo Fury",7,"Created","1","Echo Fury held under a tender ride.","No"
"769",29,"Ruby Ash",9,"Created","6","Ruby Ash had a stripped fitter for the reappearance.","No"
"770",29,"Vladimir",12,"Attheraces","8","Vladimir was narrowly beaten in a fair maiden on the turf course.","No"
"771",29,"Silversky",8,"Attheraces","3","Silversky began his handicap career last time out.","No"
"772",29,"Electric Stride",10,"Created","4","Electric Stride was by Miller and came widest, always holding.","No"
"773",29,"Indigo Marc",9,"Created","9","Indigo Marc found another leg in the last furlong.","No"
"774",29,"Silver Phantom",10,"Created","8","Silver Phantom heard the clock tick in the last furlong.","No"
"775",29,"Port Louis",13,"Attheraces","7","Port Louis is a Michael Madgwick-trained and ran a stormer at Doncaster .","No"
"776",29,"Flashfire",9,"Created","9","Flashfire had a line to the judge being covered.","No"
"777",29,"Bramble Halo",9,"Created","6","Bramble Hallo was known for sitting handy and traveling.","No"
"778",29,"Flint Sonata",13,"Created","2","Flint Sonata, wind op, had been suited by the cut in the ground.","No"
"779",29,"Karerin",11,"Attheraces","9","Karenin was placed and took it to the wire.","No"
"780",29,"Onyx Rune",7,"Created","10","Onyx Rune answered every question readily.","No"
"781",29,"Gallant Storm",11,"Created","8","Gallant Storm was out of a stager and sat box seat.","No"
"782",29,"Leeloo",12,"Created","7","Leeloo was on a string despite being collared in the closing stages.","No"
"783",29,"Nimbus Crest",12,"Created","4","Nimbus Crest is a sharp sire who settled and saw it out.","No"
"784",29,"Stockman",13,"Attheraces","8","Stockman led them a merry dance after being pipped.","No"
"785",29,"Lunar Charger",9,"Created","7","Lunar Charger was bred for trip and came cruising.","No"
"786",29,"Gilded Lily",9,"Created","9","Gilded Lily charged to the line on the gallops.","No"
"787",29,"Royal Rebel",8,"Created","2","Royal Rebel was visored for the first time.","No"
"788",29,"Worthing",9,"Created","4","Worthing flowed in the turf course running in blinkers.","No"
"789",29,"Nightfall",8,"Created","3","Nightfall proved over the trip after running green.","No"
"790",29,"Echo Fury",7,"Created","3","Echo Fury held under a tender ride.","No"
"791",29,"Ticker Pike",6,"Created","7","Ticker Pike had it written beforehand.","No"
"792",29,"Vanya",10,"Attheraces","5","Vanya reverted to the flat and the sand boded well.","No"
"793",29,"Skybreaker",10,"Created","7","Skybreaker had undergone a wind operation and so travelled cleaner.","No"
"794",29,"Diamond Hood",6,"Created","3","Diamond Hood found under minimal cajoling.","No"
"795",29,"Comet Stride",7,"Created","3","Comet Stride had claimer and came widest.","No"
"796",29,"Pale Corsair",7,"Created","5","Pale Corsair found plenty off the bridle.","No"
"797",29,"Bold Pride",9,"Created","4","Bold Pride was from a shrewd yard and cruising.","No"
"798",29,"Auric Vale",9,"Created","6","Auric Vale took the measure in first-time hood.","No"
"799",29,"Crystal Frontier",6,"Created","6","Crystal Frontier settled well in midfield.","No"
"800",29,"Crimson Eclipse",10,"Created","6","Crimson Eclipse was from an in-from yard and always covered.","No"
"801",29,"Golden Tempest",7,"Created","4","Golden Tempest did mind the business end.","No"
"802",29,"Swift Valor",9,"Created","6","Swift Valor went through the bridle approaching the pole.","No"
"803",29,"Green Dusk",11,"Created","2","Green Dusk had a shade snug in the sands last time.","No"
"804",29,"Lightning Monarch",10,"Created","4","Lightning Monarch settled his own sums in the turf course.","No"
"805",29,"Velvet Thunder",12,"Created","4","Velvet Thunder held up in rear, the drop in trip should suit.","No"
"806",29,"Neon Charger",9,"Created","2","Neon Charger was let in lightly on prior evidence.","No"
"807",29,"Urban Legend",11,"Created","6","Urban Legend was in the mix with a generous weight.","No"
"808",29,"Silent Eclipse",8,"Created","7","Silent Eclipse travelled into the dip, digging deep.","No"
"809",29,"Dark Mirage",8,"Created","6","Dark Mirage found the seam with first-time blinkers.","No"
"810",29,"Brave Horizon",9,"Created","8","Brave Horizon had them stretched before the furlong pole.","No"
"811",29,"Windchaser",9,"Created","6","Windchaser had the edge without showing in the turfs.","No"
"812",29,"Emerald",9,"Created","6","Emerald was a picture in running at 7 furlongs.","No"
"813",29,"Air Ace",6,"Created","8","Air Ace, gelded recently, made headway.","No"
"814",29,"Lovelace",12,"Attheraces","4","Lovelace was first-time hooded and worked the oracle.","No"
"815",29,"Red Meridian",8,"Created","5","Red Meridian caught the eye at the flats.","No"
"816",29,"Desert Flower",9,"Created","4","Desert Flower ran in snatches, still on the bridle.","No"
